item_number,accno,date,quantity,retail,cost,gross
CS-06B-S,TB0100,29/10/2024,1,208,245,-37
CS-06B-S,TB0100,07/11/2024,1,208,245,-37
CS-06B-S,SN0200,08/11/2024,10,2083,2450,-368
CS-06B-S,SPW010,08/11/2024,7,1715,1715,0
CS-06B-S,TDG020,12/11/2024,7,1458,1715,-257
CS-06B-S,SN0200,13/11/2024,15,3124,3675,-551
CS-06B-S,TDG020,18/11/2024,7,1458,1715,-257
CS-06B-S,HD0100,21/11/2024,23,4959,5635,-676
CS-06B-S,TD0100,02/12/2024,1,233,245,-12
CS-06B-S,CP0100,03/12/2024,1,233,245,-12
CS-06B-S,CP0100,04/12/2024,4,931,980,-49
CS-06B-S,CP0100,04/12/2024,4,931,980,-49
CS-06B-S,SM0200,06/12/2024,6,1470,1470,0
CS-06B-S,FP0200,09/12/2024,2,431,490,-59
CS-06B-S,TP0200,11/12/2024,5,1103,1225,-123
CS-06B-S,FP0200,15/01/2025,27,5821,6615,-794
CS-06B-S,SM0200,20/01/2025,1,245,245,0
CS-06B-S,IC0100,14/04/2025,5,1225,1225,0
CS-06B-S,TA0100,30/04/2025,7,1544,1715,-172
CS-06B-S,TA0100,07/05/2025,3,662,735,-74
CS-06B-S,WHC010,20/05/2025,2,431,490,-59
CS-06B-S,TB0100,19/06/2025,3,625,735,-110
CS-06B-S,IC0100,23/06/2025,21,5145,5145,0
CS-06B-S,TB0100,15/07/2025,3,625,735,-110
CS-06B-S,IC0100,28/07/2025,1,245,245,0
CS-06B-S,TB0100,30/07/2025,2,417,490,-74
CS-06B-S,TDG020,04/08/2025,15,3124,3675,-551
CS-08B-L,TB0100,02/10/2023,1,202,230,-28
CS-08B-L,SN0200,12/08/2024,-51,-9971,-11424,1454
CS-08B-L,SN0200,17/10/2023,1,92,230,-138
CS-08B-L,TDG020,11/09/2025,-2,-417,-490,74
CS-08B-L,TDG020,15/03/2024,9,1760,2367,-608
CS-08B-L,TDG020,22/04/2024,1,196,263,-68
CS-08B-L,SN0200,26/04/2024,4,782,1052,-270
CS-08B-L,TDG020,26/06/2024,17,3324,4471,-1148
CS-08B-L,TDG020,23/07/2024,3,587,789,-203
CS-08B-L,TE0300,30/07/2024,10,1955,2630,-675
CS-08B-L,MSB010,08/08/2024,1,214,263,-49
CS-08B-L,SN0200,12/08/2024,51,9971,13413,-3443
CS-08B-L,SN0200,12/08/2024,51,9710,11424,-1714
CS-08B-L,TDG020,11/02/2025,1,190,224,-34
CS-08B-L,TB0100,11/02/2025,1,190,224,-34
CS-08B-L,TDG020,20/02/2025,1,190,224,-34
CS-08B-L,CWMT01,03/03/2025,7,1411,1568,-157
CS-08B-L,TDG020,13/03/2025,13,2475,2912,-437
CS-08B-L,TDG020,18/03/2025,1,190,224,-34
CS-08B-L,TDG020,25/03/2025,6,1142,1344,-202
CS-08B-L,TDG020,26/03/2025,1,190,224,-34
CS-08B-L,SN0200,25/04/2025,15,2856,3360,-504
CS-08B-L,HD0100,25/04/2025,1,197,224,-27
CS-08B-L,TB0100,12/05/2025,8,1523,1792,-269
CS-08B-L,TDG020,20/05/2025,16,3046,3584,-538
CS-08B-L,TDG020,06/06/2025,10,1904,2240,-336
CS-08B-L,LS0200,25/06/2025,4,851,896,-45
CS-08B-L,SN0200,07/07/2025,15,2856,3360,-504
CS-08B-L,LS0200,04/08/2025,2,466,490,-25
CS-08B-L,TDG020,15/08/2025,26,5415,6370,-956
CS-08B-L,TB0100,10/09/2025,1,208,245,-37
CS-08B-L,TDG020,11/09/2025,2,417,490,-74
CS-08B-L,TDG020,17/09/2025,2,417,490,-74
CS-08B-L,ICG020,23/09/2025,3,735,735,0
CS-08B-L,TC0700,07/10/2025,2,417,490,-74
CS-08B-L,FP0200,23/10/2025,1,216,245,-29
CS-08B-M,TDG020,05/10/2023,10,1717,2020,-303
CS-08B-M,TDG020,05/10/2023,21,3606,4242,-636
CS-08B-M,CP0100,05/12/2024,-32,-5958,-6272,314
CS-08B-M,LWG010,27/01/2025,-1,-182,-196,14
CS-08B-M,SN0200,17/10/2023,7,1202,1414,-212
CS-08B-M,TDG020,18/10/2023,4,687,808,-121
CS-08B-M,TDG020,11/09/2025,-7,-1166,-1372,206
CS-08B-M,TDG020,08/11/2023,3,515,606,-91
CS-08B-M,FPM010,08/11/2023,5,939,1010,-71
CS-08B-M,IT0100,17/11/2023,1,182,202,-20
CS-08B-M,CTR010,12/02/2024,1,202,202,0
CS-08B-M,CTR010,13/02/2024,50,10100,10100,0
CS-08B-M,WHC010,23/02/2024,2,356,404,-49
CS-08B-M,TB0100,28/03/2024,5,889,1010,-121
CS-08B-M,LS0200,15/04/2024,1,81,202,-121
CS-08B-M,LE0200,14/10/2024,5,980,980,0
CS-08B-M,TB0100,05/11/2024,1,167,196,-29
CS-08B-M,TP0200,08/11/2024,1,176,196,-20
CS-08B-M,CTR010,19/11/2024,1,186,196,-10
CS-08B-M,MSB010,20/11/2024,1,176,196,-20
CS-08B-M,TD0100,20/11/2024,2,372,392,-20
CS-08B-M,FIN010,20/11/2024,5,980,980,0
CS-08B-M,CP0100,25/11/2024,7,1303,1372,-69
CS-08B-M,CTR010,28/11/2024,1,186,196,-10
CS-08B-M,TD0100,02/12/2024,1,186,196,-10
CS-08B-M,CP0100,03/12/2024,2,372,392,-20
CS-08B-M,CP0100,04/12/2024,32,5958,6272,-314
CS-08B-M,CP0100,04/12/2024,32,5958,6272,-314
CS-08B-M,CP0100,05/12/2024,4,745,784,-39
CS-08B-M,CP0100,10/12/2024,2,372,392,-20
CS-08B-M,SSS010,22/01/2025,32,5958,6272,-314
CS-08B-M,LWG010,24/01/2025,1,182,196,-14
CS-08B-M,LWG010,27/01/2025,10,1823,1960,-137
CS-08B-M,TDG020,20/02/2025,1,167,196,-29
CS-08B-M,TB0100,25/02/2025,5,833,980,-147
CS-08B-M,SN0200,25/04/2025,6,1000,1176,-176
CS-08B-M,TDG020,11/09/2025,7,1166,1372,-206
CS-08B-M,TDG020,17/09/2025,7,1166,1372,-206
CS-08B-M,KG0200,23/09/2025,45,8114,8820,-706
CS-08B-S,SN0200,12/08/2024,-20,-2941,-3360,419
CS-08B-S,SSS010,12/10/2023,10,1644,1730,-87
CS-08B-S,TDG020,11/09/2025,-21,-2999,-3528,529
CS-08B-S,TB0100,19/10/2023,5,761,865,-104
CS-08B-S,TB0100,14/11/2023,7,1066,1211,-145
CS-08B-S,TB0100,09/04/2024,18,2740,3114,-374
CS-08B-S,LS0200,15/04/2024,1,69,173,-104
CS-08B-S,TDG020,22/04/2024,1,147,173,-26
CS-08B-S,SN0200,12/08/2024,20,2941,3460,-519
CS-08B-S,SN0200,12/08/2024,20,2856,3360,-504
CS-08B-S,TC0700,14/08/2024,18,2722,3024,-302
CS-08B-S,TDG020,14/10/2024,40,5712,6720,-1008
CS-08B-S,SSS010,30/10/2024,8,1277,1344,-67
CS-08B-S,TD0100,20/11/2024,2,319,336,-17
CS-08B-S,CP0100,05/12/2024,17,2713,2856,-143
CS-08B-S,TDG020,20/02/2025,1,143,168,-25
CS-08B-S,HD0100,11/03/2025,1,148,168,-20
CS-08B-S,TB0100,17/04/2025,18,2570,3024,-454
CS-08B-S,SN0200,25/04/2025,20,2856,3360,-504
CS-08B-S,HD0100,25/04/2025,1,148,168,-20
CS-08B-S,CP0100,12/06/2025,9,1436,1512,-76
CS-08B-S,LS0200,25/06/2025,16,2554,2688,-134
CS-08B-S,LS0200,11/07/2025,5,798,840,-42
CS-08B-S,LS0200,04/08/2025,3,479,504,-25
CS-08B-S,LS0200,12/08/2025,3,479,504,-25
CS-08B-S,TDG020,04/09/2025,37,5284,6216,-932
CS-08B-S,TB0100,10/09/2025,5,714,840,-126
CS-08B-S,TDG020,11/09/2025,21,2999,3528,-529
CS-08B-S,TDG020,17/09/2025,29,4141,4872,-731
CS-08B-S,TDG020,19/09/2025,1,143,168,-25
CS-08B-S,TDG020,30/09/2025,2,286,336,-50
CS-101040-B,WC0100,03/10/2023,1,187,187,0
CS-101040-B,WHC010,09/10/2023,1,165,187,-22
CS-101040-B,WHC010,13/10/2023,4,658,748,-90
CS-101040-B,TDG020,15/11/2023,6,954,1122,-168
CS-101040-B,MD0200,15/11/2023,5,935,935,0
CS-101040-B,TDG020,07/12/2023,11,1748,2057,-309
CS-101040-B,SN0200,26/01/2024,15,2384,2805,-421
CS-101040-B,MD0200,06/02/2024,26,4862,4862,0
CS-101040-B,WHC010,20/02/2024,2,329,374,-45
CS-101040-B,TA0100,23/02/2024,2,337,374,-37
